310519 0101   0.000  68.404  12.850   0.000  30.422   0.000  39.222   4.210   3.494   0.000   0.000   4.235   0.975   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0102   0.000  68.404  12.892   0.000  30.245   0.000  39.222   4.210   3.504   0.000   0.000   4.185   0.971   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0103   0.000  68.404  12.864   0.000  30.136   0.000  39.222   4.210   3.494   0.000   0.000   4.237   0.971   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0104   0.000  68.404  12.817   0.000  30.040   0.000  39.222   4.210   3.494   0.000   0.000   4.182   0.971   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0105   0.000  68.404  12.868   0.000  29.904   0.000  39.222   4.210   3.494   0.000   0.000   4.235   0.971   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0106   0.000  68.404  12.808   0.000  29.836   0.000  39.222   4.210   3.504   0.000   0.000   4.180   0.971   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0107   0.000  68.404  12.854   0.000  30.095   0.000  39.222   4.210   3.494   0.000   0.000   4.235   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0108   0.000  68.404  12.924   0.000  30.027   0.000  39.222   4.207   3.504   0.000   0.000   4.178   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0109   0.000  68.404  12.882   0.000  30.013   0.000  39.222   4.210   3.494   0.000   0.000   4.235   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0110   0.000  68.404  12.943   0.000  29.986   0.000  39.222   4.207   3.494   0.000   0.000   4.175   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 062 0 022 0 0 0 000 000 000 000 
310519 0111   0.000  68.433  12.789   0.000  29.781   0.000  39.222   4.207   3.494   0.000   0.000   4.235   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0112   0.000  68.433  12.896   0.000  29.836   0.000  39.222   4.210   3.494   0.000   0.000   4.235   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0113   0.000  68.433  12.906   0.000  30.217   0.000  39.222   4.210   3.494   0.000   0.000   4.178   0.966   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0114   0.000  68.433  13.045   0.000  31.008   0.000  39.222   4.210   3.494   0.000   0.000   4.232   0.962   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0115   0.000  68.433  12.947   0.000  31.117   0.000  39.222   4.210   3.504   0.000   0.000   4.175   0.962   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0116   0.000  68.433  12.971   0.000  31.199   0.000  39.222   4.207   3.504   0.000   0.000   4.227   0.962   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0117   0.000  68.433  12.947   0.000  31.376   0.000  39.222   4.210   3.494   0.000   0.000   4.173   0.962   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0118   0.000  68.433  13.003   0.000  31.185   0.000  39.222   4.207   3.494   0.000   0.000   4.217   0.962   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0119   0.000  68.433  12.882   0.000  30.776   0.000  39.222   4.210   3.504   0.000   0.000   4.175   0.957   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0120   0.000  68.433  13.008   0.000  30.872   0.000  39.222   4.210   3.504   0.000   0.000   4.235   0.957   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0121   0.000  68.433  12.817   0.000  30.463   0.000  39.222   4.210   3.494   0.000   0.000   4.178   0.957   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0122   0.000  68.433  12.854   0.000  30.299   0.000  39.222   4.207   3.494   0.000   0.000   4.232   0.957   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0123   0.000  68.433  12.887   0.000  30.136   0.000  39.222   4.210   3.494   0.000   0.000   4.182   0.957   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0124   0.000  68.433  12.859   0.000  30.013   0.000  39.222   4.207   3.494   0.000   0.000   4.222   0.953   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 063 0 022 0 0 0 000 000 000 000 
310519 0125   0.000  68.433  12.919   0.000  30.231   0.000  39.222   4.210   3.504   0.000   0.000   4.192   0.953   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0126   0.000  68.433  12.813   0.000  29.849   0.000  39.222   4.207   3.494   0.000   0.000   4.215   0.953   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0127   0.000  68.433  12.924   0.000  30.054   0.000  39.222   4.210   3.494   0.000   0.000   4.207   0.953   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0128   0.000  68.433  12.799   0.000  29.727   0.000  39.222   4.207   3.494   0.000   0.000   4.200   0.953   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0129   0.000  68.433  12.924   0.000  29.999   0.000  39.222   4.207   3.504   0.000   0.000   4.217   0.953   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0130   0.000  68.433  12.952   0.000  29.958   0.000  39.222   4.207   3.504   0.000   0.000   4.190   0.948   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0131   0.000  68.433  12.859   0.000  29.986   0.000  39.222   4.207   3.494   0.000   0.000   4.232   0.948   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0132   0.000  68.433  12.947   0.000  30.054   0.000  39.222   4.207   3.504   0.000   0.000   4.185   0.948   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0133   0.000  68.433  12.896   0.000  30.217   0.000  39.222   4.207   3.494   0.000   0.000   4.235   0.948   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0134   0.000  68.433  13.040   0.000  30.844   0.000  39.222   4.207   3.494   0.000   0.000   4.178   0.948   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0135   0.000  68.433  12.971   0.000  31.063   0.000  39.222   4.207   3.504   0.000   0.000   4.230   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0136   0.000  68.433  13.040   0.000  31.512   0.000  39.222   4.207   3.494   0.000   0.000   4.175   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0137   0.000  68.433  12.966   0.000  31.403   0.000  39.222   4.207   3.494   0.000   0.000   4.205   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0138   0.000  68.433  12.938   0.000  31.281   0.000  39.222   4.210   3.494   0.000   0.000   4.180   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 064 0 022 0 0 0 000 000 000 000 
310519 0139   0.000  68.433  12.980   0.000  30.858   0.000  39.222   4.207   3.494   0.000   0.000   4.190   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0140   0.000  68.433  12.994   0.000  30.954   0.000  39.222   4.210   3.504   0.000   0.000   4.197   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0141   0.000  68.433  12.943   0.000  30.804   0.000  39.222   4.207   3.504   0.000   0.000   4.200   0.944   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0142   0.000  68.433  12.878   0.000  30.326   0.000  39.222   4.207   3.494   0.000   0.000   4.220   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0143   0.000  68.433  12.952   0.000  30.490   0.000  39.222   4.207   3.494   0.000   0.000   4.187   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0144   0.000  68.433  12.864   0.000  30.040   0.000  39.222   4.207   3.494   0.000   0.000   4.232   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0145   0.000  68.433  12.957   0.000  30.258   0.000  39.222   4.207   3.494   0.000   0.000   4.180   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0146   0.000  68.433  12.938   0.000  30.149   0.000  39.097   4.207   3.494   0.000   0.000   4.235   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0147   0.000  68.433  12.929   0.000  30.095   0.000  39.097   4.207   3.494   0.000   0.000   4.175   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0148   0.000  68.433  12.845   0.000  29.699   0.000  39.222   4.207   3.494   0.000   0.000   4.225   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0149   0.000  68.433  12.850   0.000  29.672   0.000  39.097   4.207   3.494   0.000   0.000   4.173   0.939   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0150   0.000  68.433  12.924   0.000  29.945   0.000  39.097   4.205   3.494   0.000   0.000   4.205   0.935   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0151   0.000  68.433  12.864   0.000  30.013   0.000  39.097   4.207   3.494   0.000   0.000   4.178   0.935   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0152   0.000  68.433  12.966   0.000  30.054   0.000  39.097   4.205   3.494   0.000   0.000   4.192   0.935   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0153   0.000  68.433  12.882   0.000  30.040   0.000  39.097   4.207   3.494   0.000   0.000   4.187   0.935   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 065 0 022 0 0 0 000 000 000 000 
310519 0154   0.000  68.433  13.017   0.000  30.831   0.000  39.097   4.207   3.494   0.000   0.000   4.187   0.935   0.000   0.000   0.000   0.000   0.000   0.000 00 100 20 066 0 022 0 0 0 000 000 000 000 
